Song Name,Artist,Length,BPM,Level to Unlock,Difficulty – Easy,Difficulty – Hard,Difficulty – Master,Pack,Track Number,Track Total,Song filename,Art link
Iyaiya ,小野道ono ,2:01 ,128,1,1,4,- ,Default Songs,1,46,iyaiya,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/7/75/Iyaiya.png/revision/latest?cb=20190729015630
Wonderful Pain ,Haloweak ,1:51 ,138,1,1,3,- ,Default Songs,2,46,wonderful_pain,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e4/Wonderful_Pain.png/revision/latest?cb=20190729020712
Breaking Dawn ,TetraCalyx ,1:38 ,140,1,2,4,- ,Default Songs,3,46,breaking_dawn,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6b/Breaking_Dawn.png/revision/latest?cb=20190729022357
单向地铁 Feat.karin ,小野道ono ,1:52 ,128,1,1,4,- ,Default Songs,4,46,danxiang_ditie,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/3/3b/%E5%96%AE%E5%90%91%E5%9C%B0%E9%90%B5.png/revision/latest?cb=20190729043031
Frost Land ,Zris ,1:58 ,111,2,1,3,6,Default Songs,5,46,frost_land,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e4/Frost_Land.png/revision/latest?cb=20190729043213
Heart-Pounding Flight ,TetraCalyx ,1:30 ,150,3,2,5,- ,Default Songs,6,46,heart_pounding_flight,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/85/Heart-Pounding_Flight.png/revision/latest?cb=20190729043334
Pancake is Love ,3R2 ,1:46 ,155,4,2,4,6,Default Songs,7,46,pancake_is_love,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6d/Pancake_is_Love.png/revision/latest?cb=20190729050425
时光涂鸦 ,TetraCalyx ,1:36 ,158,5,2,5,- ,Default Songs,8,46,shiguang_tuya,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/cb/%E6%99%82%E5%85%89%E5%A1%97%E9%B4%89.png/revision/latest?cb=20190729053433
Evolution ,Haloweak ,1:43 ,130,6,2,4,7,Default Songs,9,46,evolution,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/53/Evolution.png/revision/latest?cb=20190729231704
海豚与广播 feat.Uranyan ,小野道ono ,1:34 ,128,7,2,5,- ,Default Songs,10,46,haitun_yu_guangbo,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e0/%E6%B5%B7%E8%B1%9A%E8%88%87%E5%BB%A3%E6%92%AD.png/revision/latest?cb=20190729221606
Yuki no Shizuku Ame no Oto ,Tianyou feat.Tokyo Tower ,2:29 ,130,8,2,4,6,Default Songs,11,46,yuki_no_shizuku_ame_no_oto,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ec/%E9%9B%AA%E3%81%AE%E9%9B%AB%E3%83%BB%E9%9B%A8%E3%81%AE%E9%9F%B3.png/revision/latest?cb=20190729222636
Best One feat.墨橙 ,小野道ono ,2:21 ,110,9,3,5,- ,Default Songs,12,46,best_one,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/29/Best_One.png/revision/latest?cb=20200612143825
